2026-01-29 18:53:54,847 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 18:53:54,868 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,868 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,869 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 18:53:54,870 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 18:53:54,886 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,887 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,888 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 18:53:55,211 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:55] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 18:53:55,225 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:55,248 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:55,589 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:55] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 18:53:55,600 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:55,976 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:55] "GET /api/health HTTP/1.1" 200 -
2026-01-29 18:53:55,977 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:55] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 18:53:55,987 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:55,987 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,007 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,010 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:56] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 18:53:56,037 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,438 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:56] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 18:53:56,449 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,512 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:56] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
